QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,RB,Le'Veon Bell (9359211),Le'Veon Bell,9359211,9800,PIT@CLE 01:00PM ET,PIT,
,,,,,,,,,,RB,David Johnson (9359235),David Johnson,9359235,9400,ARI@DET 01:00PM ET,ARI,
,,,,,,,,,,WR,Antonio Brown (9358987),Antonio Brown,9358987,8800,PIT@CLE 01:00PM ET,PIT,
,,,,,,,,,,WR,Julio Jones (9359003),Julio Jones,9359003,8500,ATL@CHI 01:00PM ET,ATL,
,,,,,,,,,,WR,Odell Beckham Jr. (9359352),Odell Beckham Jr.,9359352,8300,NYG@DAL 08:30PM ET,NYG,
,,,,,,,,,,RB,LeSean McCoy (9358939),LeSean McCoy,9358939,8200,NYJ@BUF 01:00PM ET,BUF,
,,,,,,,,,,RB,Ezekiel Elliott (9359890),Ezekiel Elliott,9359890,8100,NYG@DAL 08:30PM ET,DAL,
,,,,,,,,,,WR,A.J. Green (9359007),A.J. Green,9359007,8000,BAL@CIN 01:00PM ET,CIN,
,,,,,,,,,,WR,Mike Evans (9359400),Mike Evans,9359400,7800,TB@MIA 01:00PM ET,TB,
,,,,,,,,,,WR,Brandin Cooks (9358590),Brandin Cooks,9358590,7700,KC@NE 08:30PM ET,NE,
,,,,,,,,,,QB,Tom Brady (9358569),Tom Brady,9358569,7600,KC@NE 08:30PM ET,NE,
,,,,,,,,,,WR,Jordy Nelson (9358801),Jordy Nelson,9358801,7600,SEA@GB 04:25PM ET,GB,
,,,,,,,,,,WR,Dez Bryant (9358936),Dez Bryant,9358936,7500,NYG@DAL 08:30PM ET,DAL,
,,,,,,,,,,RB,DeMarco Murray (9358898),DeMarco Murray,9358898,7400,OAK@TEN 01:00PM ET,TEN,
,,,,,,,,,,WR,Michael Thomas (9358645),Michael Thomas,9358645,7400,NO@MIN 07:10PM ET,NO,
,,,,,,,,,,QB,Ben Roethlisberger (9358816),Ben Roethlisberger,9358816,7300,PIT@CLE 01:00PM ET,PIT,
,,,,,,,,,,WR,Amari Cooper (9359594),Amari Cooper,9359594,7200,OAK@TEN 01:00PM ET,OAK,
,,,,,,,,,,QB,Drew Brees (9358623),Drew Brees,9358623,7200,NO@MIN 07:10PM ET,NO,
,,,,,,,,,,QB,Cam Newton (9358917),Cam Newton,9358917,7100,CAR@SF 04:25PM ET,CAR,
,,,,,,,,,,RB,Devonta Freeman (9359384),Devonta Freeman,9359384,7000,ATL@CHI 01:00PM ET,ATL,
,,,,,,,,,,QB,Aaron Rodgers (9358780),Aaron Rodgers,9358780,7000,SEA@GB 04:25PM ET,GB,
,,,,,,,,,,QB,Matt Ryan (9358787),Matt Ryan,9358787,6900,ATL@CHI 01:00PM ET,ATL,
,,,,,,,,,,WR,T.Y. Hilton (9359068),T.Y. Hilton,9359068,6900,IND@LAR 04:05PM ET,IND,
,,,,,,,,,,QB,Russell Wilson (9358965),Russell Wilson,9358965,6900,SEA@GB 04:25PM ET,SEA,
,,,,,,,,,,TE,Rob Gronkowski (9358612),Rob Gronkowski,9358612,6800,KC@NE 08:30PM ET,NE,
,,,,,,,,,,QB,Marcus Mariota (9359532),Marcus Mariota,9359532,6800,OAK@TEN 01:00PM ET,TEN,
,,,,,,,,,,QB,Derek Carr (9359092),Derek Carr,9359092,6700,OAK@TEN 01:00PM ET,OAK,
,,,,,,,,,,WR,Doug Baldwin (9358950),Doug Baldwin,9358950,6700,SEA@GB 04:25PM ET,SEA,
,,,,,,,,,,QB,Jameis Winston (9359698),Jameis Winston,9359698,6600,TB@MIA 01:00PM ET,TB,
,,,,,,,,,,RB,Melvin Gordon (9358682),Melvin Gordon,9358682,6600,LAC@DEN 10:20PM ET,LAC,
,,,,,,,,,,WR,Golden Tate (9358960),Golden Tate,9358960,6500,ARI@DET 01:00PM ET,DET,
,,,,,,,,,,RB,Jay Ajayi (9359367),Jay Ajayi,9359367,6500,TB@MIA 01:00PM ET,MIA,
,,,,,,,,,,QB,Andrew Luck (9359023),Andrew Luck,9359023,6500,IND@LAR 04:05PM ET,IND,
,,,,,,,,,,QB,Kirk Cousins (9358981),Kirk Cousins,9358981,6400,PHI@WAS 01:00PM ET,WAS,
